No,Nama,LLDikti,
111,AKADEMI KEBIDANAN AL-FATHONAH JAKARTA,3,
112,AKADEMI KEBIDANAN ALIFA PRINGSEWU LAMPUNG,,
113,AKADEMI KEBIDANAN ALIFAH PADANG,,
114,AKADEMI KEBIDANAN AL-IKHLAS CISARUA,,
115,AKADEMI KEBIDANAN AL-ISHLAH CILEGON,4,
116,AKADEMI KEBIDANAN AL-SUA'IBAH PALEMBANG,,
117,AKADEMI KEBIDANAN AMANAH MUARA BUNGO,,
118,AKADEMI KEBIDANAN ANNISA JAYA,,
119,AKADEMI KEBIDANAN AN-NUR HUSADA WALISONGO,,
120,AKADEMI KEBIDANAN AN-NUR PURWODADI,6,
121,AKADEMI KEBIDANAN ANUGERAH BINTAN,10,
122,AKADEMI KEBIDANAN AR-RAHMA,7,
123,AKADEMI KEBIDANAN AR-RAHMAH BANDUNG,,
124,AKADEMI KEBIDANAN AR-RUM SALATIGA,6,
125,AKADEMI KEBIDANAN ARTA KABANJAHE,,
126,AKADEMI KEBIDANAN AS SYIFA,,
127,AKADEMI KEBIDANAN ASSYIFA TANGERANG,,
128,AKADEMI KEBIDANAN AUDI HUSADA MEDAN,1,
129,AKADEMI KEBIDANAN BAKTI INDONESIA BALIKPAPAN,,
130,AKADEMI KEBIDANAN BAKTI INDONESIA BOGOR,,
131,AKADEMI KEBIDANAN BALI WISNU DHARMA DENPASAR,,
132,AKADEMI KEBIDANAN BANDUNG,4,
133,AKADEMI KEBIDANAN BANJARBARU,,
134,AKADEMI KEBIDANAN BANUA BINA HUSADA,,
135,AKADEMI KEBIDANAN BARUNA HUSADA SIBUHUAN,1,
136,AKADEMI KEBIDANAN BATARI TOJA,,
137,AKADEMI KEBIDANAN BERLIAN NUSANTARA,,
138,AKADEMI KEBIDANAN BETANG ASI RAYA,,
139,AKADEMI KEBIDANAN BHAKTI ASIH,,
140,AKADEMI KEBIDANAN BHAKTI BANGSA,,
141,AKADEMI KEBIDANAN BHAKTI HUSADA CIKARANG,4,
142,AKADEMI KEBIDANAN BHAKTI NUGRAHA,,
143,AKADEMI KEBIDANAN BHAKTI NUSANTARA SALATIGA,,
144,AKADEMI KEBIDANAN BHAKTI PERTIWI PEMALANG,,
