No,Nama,LLDikti,
1265,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KALIMANTAN TIMUR,,
1266,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KALIMANTAN TIMUR,,
1267,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KALIMANTAN TIMUR (KAMPUS BALIKPAPAN),,
1268,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KENDARI,,
1269,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN KUPANG,,
1270,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MAKASSAR,,
1271,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MAKASSAR,,
1272,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MAKASSAR,,
1273,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALANG,,
1274,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALANG,,
1275,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALANG (KAMPUS KEDIRI),,
1276,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALANG KAMPUS JEMBER,,
1277,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALUKU,,
1278,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALUKU (KAMPUS SAUMLAKI),,
1279,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MALUKU (KAMPUS TUAL),,
1280,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MAMUJU,,
1281,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MANADO,,
1282,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MANADO,,
1283,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MATARAM,,
1284,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MATARAM,,
1285,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MEDAN,,
1286,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN MEDAN,,
1287,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PADANG,,
1288,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PADANG,,
1289,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PADANG (KAMPUS BUKITTINGGI),,
1290,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALANGKARAYA,,
1291,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALANGKARAYA,,
1292,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALEMBANG,,
1293,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALEMBANG,,
1294,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALU,,
1295,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALU,,
1296,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PALU,,
1297,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PANGKAL PINANG,,
1298,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN PONTIANAK,,
1299,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN RIAU,,
1300,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN RIAU,,
1301,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SEMARANG,,
1302,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SEMARANG,,
1303,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SEMARANG,,
1304,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SEMARANG (KAMPUS MAGELANG),,
1305,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SEMARANG (KAMPUS PEKALONGAN),,
1306,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SEMARANG (KAMPUS PURWOKERTO),,
1307,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SORONG,,
1308,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SORONG,,
1309,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SORONG (KAMPUS MANOKWARI),,
1310,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURABAYA,,
1311,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURABAYA,,
1312,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURABAYA,,
1313,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURABAYA,,
1314,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURABAYA,,
1315,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURABAYA,,
1316,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURAKARTA,,
1317,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN SURAKARTA,,
1318,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TANJUNG KARANG,,
1319,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TANJUNG KARANG,,
1320,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TANJUNG PINANG,,
1321,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TANJUNG PINANG,,
1322,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TANJUNG PINANG,,
1323,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TASIKMALAYA,,
1324,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TASIKMALAYA,,
1325,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TASIKMALAYA (KAMPUS CIREBON),,
1326,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN TERNATE,,
1327,POLITEKNIK KESEHATAN KEMENTERIAN KESEHATAN YOGYAKARTA,,
1328,POLITEKNIK KESEHATAN KERTA CENDEKIA,,
1329,POLITEKNIK KESEHATAN MAJAPAHIT,7,
1330,POLITEKNIK KESEHATAN MUHAMMADIYAH MAKASSAR,9,
1331,POLITEKNIK KESEHATAN PERMATA INDONESIA YOGYAKARTA,5,
1332,POLITEKNIK KESEHATAN PERMATA INDONESIA YOGYAKARTA,,
1333,POLITEKNIK KESEHATAN RS DR SOEPRAOEN KESDAM V,,
1334,POLITEKNIK KESEHATAN SITEBA,,
1335,POLITEKNIK KESEHATAN TNI AU ADISUTJIPTO,,
1336,POLITEKNIK KESEHATAN TNI-AU CIUMBULEUIT,,
1337,POLITEKNIK KESEHATAN UMMI KHASANAH,,
1338,POLITEKNIK KESEHATAN YAPKESBI,,
1339,POLITEKNIK KESEHATAN YRSU DR RUSDI,,
1340,POLITEKNIK KESEHATAN YRSU DR. RUSDI,,
1341,Politeknik Kesejahteraan Sosial Bandung,,
1342,Politeknik Keselamatan Transportasi Jalan,,
1343,Politeknik Ketenagakerjaan,,
1344,POLITEKNIK KETENAGAKERJAAN,,
1345,Politeknik Keuangan Negara STAN,,
1346,Politeknik Komputer Niaga Lpkia,4,
1347,Politeknik Kota Malang,7,
1348,Politeknik Kotabaru,11,
1349,Politeknik Krakatau,4,
1350,Politeknik Kridatama Bandung,4,
1351,POLITEKNIK KUDUS,6,
1352,Politeknik Kutaraja,13,
1353,Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia,4,
1354,Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia Makassar,9,
1355,Politeknik LP3I,3,
1356,Politeknik LP3I Bandung,4,
1357,Politeknik LP3I Jakarta,3,
1358,Politeknik LP3I Medan,1,
1359,Politeknik LPP Yogyakarta,5,
1360,Politeknik Malinau,11,
1361,Politeknik Mandiri Bina Prestasi,1,
1362,Politeknik Manufaktur Astra,3,
1363,Politeknik Manufaktur Bandung,,
1364,Politeknik Manufaktur Ceper,6,
1365,Politeknik Manufaktur Negeri Bangka Belitung,,
1366,Politeknik Maritim AMI Makassar,9,
1367,Politeknik Maritim Negeri Indonesia,,
1368,Politeknik Masamy Internasional,7,
1369,POLITEKNIK MEDICA FARMA HUSADA MATARAM,,
1370,Politeknik Mekatronika Sanata Dharma,5,
1371,POLITEKNIK META INDUSTRI CIKARANG,,
1372,Politeknik Meta Industri Cikarang,4,
1373,Politeknik Mitra Global,7,
1374,Politeknik Mitra Karya Mandiri,6,
1375,POLITEKNIK MITRA KARYA MANDIRI,,
1376,Politeknik Muara Teweh,11,
1377,Politeknik Muhammadiyah Magelang,6,
1378,Politeknik Muhammadiyah Pekalongan,6,
1379,Politeknik Muhammadiyah Tegal,6,
1380,Politeknik Nasional,8,
1381,Politeknik Nasional Denpasar,8,
1382,Politeknik Negeri Ambon,,
1383,Politeknik Negeri Bali,,
1384,Politeknik Negeri Balikpapan,,
1385,Politeknik Negeri Bandung,,
1386,Politeknik Negeri Banjarmasin,,
1387,Politeknik Negeri Banyuwangi,,
1388,Politeknik Negeri Batam,,
1389,Politeknik Negeri Bengkalis,,
1390,Politeknik Negeri Cilacap,,
1391,Politeknik Negeri Fakfak,,
1392,Politeknik Negeri Indramayu,,
1393,Politeknik Negeri Jakarta,,
1394,Politeknik Negeri Jember,,
1395,POLITEKNIK NEGERI JEMBER,,
1396,POLITEKNIK NEGERI JEMBER,,
1397,Politeknik Negeri Ketapang,,
1398,Politeknik Negeri Kupang,,
1399,Politeknik Negeri Lampung,,
1400,Politeknik Negeri Lhokseumawe,,
1401,Politeknik Negeri Madiun,,
1402,Politeknik Negeri Madura,,
1403,POLITEKNIK NEGERI MADURA,,
1404,Politeknik Negeri Malang,,
1405,Politeknik Negeri Manado,,
1406,Politeknik Negeri Medan,,
1407,Politeknik Negeri Media Kreatif,,
1408,Politeknik Negeri Nusa Utara,,
1409,POLITEKNIK NEGERI NUSA UTARA,,
1410,Politeknik Negeri Padang,,
1411,Politeknik Negeri Pontianak,,
1412,Politeknik Negeri Samarinda,,
1413,Politeknik Negeri Sambas,,
1414,Politeknik Negeri Semarang,,
1415,Politeknik Negeri Sriwijaya,,
1416,Politeknik Negeri Subang,,
1417,POLITEKNIK NEGERI SUBANG,,
1418,Politeknik Negeri Tanah Laut,,
1419,Politeknik Negeri Ujung Pandang,,
1420,Politeknik NSC Surabaya,7,
1421,Politeknik Pajajaran Insan Cinta Bangsa Bandung,4,
1422,Politeknik Palcomtech,2,
1423,Politeknik Palu,16,
1424,Politeknik Pariwisata Bali,,
1425,Politeknik Pariwisata Batam,10,
1426,Politeknik Pariwisata Lombok,,
1427,Politeknik Pariwisata Makassar,,
1428,Politeknik Pariwisata Medan,,
1429,Politeknik Pariwisata Palembang,,
1430,Politeknik Pariwisata Prima Internasional,4,
1431,Politeknik Pekerjaan Umum,,
1432,Politeknik Pelayaran Banten,,
1433,Politeknik Pelayaran Barombong,,
1434,Politeknik Pelayaran Malahayati,,
1435,Politeknik Pelayaran Sorong,,
1436,Politeknik Pelayaran Sulawesi Utara,,
1437,Politeknik Pelayaran Sumatera Barat,,
1438,Politeknik Pelayaran Surabaya,,
1439,Politeknik Pembangunan Pertanian Bogor,,
1440,Politeknik Pembangunan Pertanian Gowa,,
1441,Politeknik Pembangunan Pertanian Magelang,,
1442,Politeknik Pembangunan Pertanian Malang,,
1443,Politeknik Pembangunan Pertanian Manokwari,,
1444,Politeknik Pembangunan Pertanian Medan,,
1445,Politeknik Pembangunan Pertanian Yogyakarta Magelang,,
1446,Politeknik Pembangunan Pertanian Yogyakarta-Magelang,,
1447,Politeknik Penerbangan Jayapura,,
1448,Politeknik Penerbangan Makassar,4,
1449,Politeknik Penerbangan Medan,,
1450,Politeknik Penerbangan Palembang,,
1451,Politeknik Penerbangan Surabaya,,
1452,Politeknik Perdamaian Halmahera,12,
1453,Politeknik Perdana Mandiri,4,
1454,Politeknik Perikanan Negeri Tual,,
1455,Politeknik Perkapalan Negeri Surabaya,,
1456,Politeknik Perkeretaapian Indonesia Madiun,,
1457,Politeknik Pertanian Dan Peternakan Mapena,7,
1458,Politeknik Pertanian Negeri Kupang,,
1459,Politeknik Pertanian Negeri Pangkajene Kepulauan,,
1460,Politeknik Pertanian Negeri Payakumbuh,,
1461,Politeknik Pertanian Negeri Samarinda,,
1462,Politeknik Pertanian Yasanto,14,
1463,Politeknik PGRI Banten,4,
1464,Politeknik Piksi Ganesha,4,
1465,POLITEKNIK PIKSI GANESHA,,
1466,Politeknik Piksi Input Serang,4,
1467,Politeknik Poliprofesi Medan,1,
1468,Politeknik Pos Indonesia,4,
1469,Politeknik Praktisi Bandung,4,
1470,Politeknik Pratama,6,
1471,Politeknik Pratama Mulia,6,
1472,Politeknik Pratama Mulia Surakarta,6,
1473,Politeknik Purbaya,6,
1474,Politeknik Pusmanu,6,
1475,Politeknik Putra Bangsa Pontianak,11,
1476,Politeknik Raflesia,2,
1477,Politeknik Sahid,3,
1478,Politeknik Sains &amp; Teknologi Wiratama Maluku Utara,12,
1479,Politeknik Sains Dan Teknologi Wiratama Maluku Utara,12,
1480,Politeknik Saint Paul Sorong,14,
1481,Politeknik Sakti Surabaya,7,
1482,POLITEKNIK SANDI KARSA,9,
1483,POLITEKNIK SANTO PAULUS SURAKARTA,,
1484,Politeknik Sawunggalih Aji,6,
1485,Politeknik Sekayu,2,
1486,Politeknik Sendawar,11,
1487,Politeknik Seni Yogyakarta,5,
1488,Politeknik Siber Dan Sandi Negara,,
1489,Politeknik Sinar Mas Berau Coal,11,
1490,Politeknik Soca,3,
1491,Politeknik ST. Wilhelmus,15,
1492,Politeknik Statistika STIS,,
1493,Politeknik STIA LAN Bandung,,
1494,Politeknik STIA LAN Jakarta,,
1495,Politeknik STIA LAN Makassar,,
1496,Politeknik Stibisnis,6,
1497,Politeknik STMI Jakarta,,
1498,Politeknik STTT Bandung,,
1499,Politeknik Sukabumi,4,
1500,Politeknik Surabaya,7,
1501,Politeknik Swadharma,3,
1502,Politeknik Tanjungbalai,1,
1503,Politeknik TEDC,4,
1504,POLITEKNIK TEDC BANDUNG,4,
1505,Politeknik Teknologi Kimia Industri,,
1506,POLITEKNIK TIARA BUNDA,4,
1507,Politeknik Tonggak Equator,11,
1508,Politeknik Transportasi Darat Indonesia - STTD,,
1509,Politeknik Transportasi Sungai Danau Dan Penyeberangan,,
1510,Politeknik Tri Mitra Karya Mandiri,4,
1511,Politeknik Triguna Tasikmalaya,4,
1512,Politeknik Trisila Dharma,6,
1513,Politeknik Tunas Pemuda,4,
1514,Politeknik Ubaya,7,
1515,Politeknik Unggul LP3M,1,
1516,POLITEKNIK UNGGULAN KALIMANTAN,,
1517,Politeknik Unisma Malang,7,
1518,Politeknik Wilmar Bisnis Indonesia,1,
1519,POLITEKNIK YAKPERMAS BANYUMAS,6,
1520,POLITENIK KESEHATAN YAPKESBI,,
1521,POLTEKKES KEMENKES BANTEN,,
1522,POLTEKKES KEMENKES DENPASAR,,
1523,Poltekkes Kemenkes Surabaya,,
1524,S.T. Manajemen Bisnis Multi Sarana Manajemen Administrasi Dan Rekayasa Teknologi,1,
1525,Sekolah Tinggi  Ilmu Ekonomi JIU,4,
1526,Sekolah Tinggi Agama Buddha Bodhi Dharma,,
1527,Sekolah Tinggi Agama Buddha Dharma Widya,,
1528,Sekolah Tinggi Agama Buddha Kertarajasa,,
1529,Sekolah Tinggi Agama Buddha Maha Prajna Jakarta,,
1530,Sekolah Tinggi Agama Buddha Maitreyawira,,
1531,Sekolah Tinggi Agama Buddha Nalanda,,
1532,SEKOLAH TINGGI AGAMA BUDDHA NALANDA,,
1533,Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,,
1534,Sekolah Tinggi Agama Buddha Negeri Sriwijaya Tangerang,,
1535,Sekolah Tinggi Agama Buddha Syailendra,,
1536,Sekolah Tinggi Agama Hindu Dharma Nusantara Jakarta,,
1537,Sekolah Tinggi Agama Hindu Dharma Sentana Sulawesi Tengah,,
1538,Sekolah Tinggi Agama Hindu Lampung,,
1539,Sekolah Tinggi Agama Hindu Negeri GDE Pudja Mataram,,
1540,Sekolah Tinggi Agama Hindu Negeri Gde Pudja Mataram,,
1541,Sekolah Tinggi Agama Hindu Shantika Dharma Malang,,
1542,Sekolah Tinggi Agama Islam (STAI) Al-Ma`arif Way Kanan,,
1543,Sekolah Tinggi Agama Islam (STAI) Badrus Sholeh Purwoasri Kediri,,
1544,Sekolah Tinggi Agama Islam (STAI) Baturaja,,
1545,Sekolah Tinggi Agama Islam (STAI) Khozinatul Ulum,,
1546,Sekolah Tinggi Agama Islam (STAI) Poso,,
1547,Sekolah Tinggi Agama Islam (STAI) Wakatobi,,
1548,Sekolah Tinggi Agama Islam Aceh Tamiang,,
1549,Sekolah Tinggi Agama Islam Al Gazali Bone,,
1550,Sekolah Tinggi Agama Islam Al Hikmah Tuban,3,
1551,Sekolah Tinggi Agama Islam Al Karimiyah,,
1552,Sekolah Tinggi Agama Islam Al Mashturiyah Sukabumi,,
1553,Sekolah Tinggi Agama Islam Al Masthuriyah Sukabumi,,
1554,Sekolah Tinggi Agama Islam Al Muhammad Cepu,,
1555,Sekolah Tinggi Agama Islam Al Musaddadiyah Garut,,
1556,Sekolah Tinggi Agama Islam Al-Amin Dompu NTB,,
1557,Sekolah Tinggi Agama Islam Al-Aqidah Al-Hasyimiyah,,
1558,Sekolah Tinggi Agama Islam Al-Azhar Menganti Gresik,,
1559,Sekolah Tinggi Agama Islam Al-Azhary Cianjur,,
1560,Sekolah Tinggi Agama Islam Al-Gazali Bulukumba,,
1561,Sekolah Tinggi Agama Islam Al-Gazali Soppeng,,
1562,Sekolah Tinggi Agama Islam Al-Hamidiyah Depok,,
1563,Sekolah Tinggi Agama Islam Al-Hidayah Bogor,,
1564,Sekolah Tinggi Agama Islam Al-Hikmah Jakarta,,
1565,Sekolah Tinggi Agama Islam Al-Hikmah Medan,,
1566,Sekolah Tinggi Agama Islam Ali Bin Abi Thalib,,
1567,Sekolah Tinggi Agama Islam Al-Jami Banjarmasin,,
1568,Sekolah Tinggi Agama Islam Al-Khairat Pemekasan,,
1569,Sekolah Tinggi Agama Islam Al-Ma`arif Way Kanan,,
1570,Sekolah Tinggi Agama Islam Al-Mas`udiyah,,
1571,Sekolah Tinggi Agama Islam Al-Mawaddah Warrahmah Kolaka,,
1572,Sekolah Tinggi Agama Islam Al-Muhajirin Purwakarta,,
1573,Sekolah Tinggi Agama Islam Al-Mujtahadah Pekanbaru,,
1574,Sekolah Tinggi Agama Islam Al-Qudwah Depok,,
1575,Sekolah Tinggi Agama Islam Al-Washliyah,,
1576,Sekolah Tinggi Agama Islam Ar-Rosyid,,
1577,Sekolah Tinggi Agama Islam As`adiyah Sengkang Wajo,,
1578,Sekolah Tinggi Agama Islam As-Sunnah,,
1579,Sekolah Tinggi Agama Islam Badrus Sholeh Kediri,,
1580,Sekolah Tinggi Agama Islam Badrus Sholeh Purwoasri Kediri,,
1581,Sekolah Tinggi Agama Islam Bakti Negara Tegal,,
1582,Sekolah Tinggi Agama Islam Balikpapan,,
1583,Sekolah Tinggi Agama Islam Baturaja,,
1584,Sekolah Tinggi Agama Islam Binamadani Cikokol Tangerang,,
1585,Sekolah Tinggi Agama Islam Binamadani Tangerang,,
1586,Sekolah Tinggi Agama Islam Blambangan,,
1587,Sekolah Tinggi Agama Islam Brebes,,
1588,Sekolah Tinggi Agama Islam Bumi Silampari Lubuklinggau,,
1589,Sekolah Tinggi Agama Islam Bustanul Ulum,,
1590,Sekolah Tinggi Agama Islam Cendekia Insani Situbondo,,
1591,Sekolah Tinggi Agama Islam Cirebon,,
1592,Sekolah Tinggi Agama Islam Darud Dakwah Wal Irsyad Maros,,
1593,Sekolah Tinggi Agama Islam Darul Arqam Muhammadiyah Garut,,
1594,Sekolah Tinggi Agama Islam Darul Hikmah,,
1595,Sekolah Tinggi Agama Islam Darul Kamal NW Kembang Kerang,,
1596,Sekolah Tinggi Agama Islam Darul Ulum Kandangan,,
1597,Sekolah Tinggi Agama Islam Darul Ulum Sarolangun,,
1598,Sekolah Tinggi Agama Islam Darunnajah Jakarta,,
1599,Sekolah Tinggi Agama Islam Darussalam Lampung,,
1600,Sekolah Tinggi Agama Islam Darussalam Nganjuk,,
1601,Sekolah Tinggi Agama Islam Daruttaqwa Gresik,,
1602,Sekolah Tinggi Agama Islam Daruttaqwa Manyar Gresik,,
1603,Sekolah Tinggi Agama Islam DDI Maros,,
1604,Sekolah Tinggi Agama Islam DDI Pinrang,,
1605,Sekolah Tinggi Agama Islam DDI Sidrap,,
1606,Sekolah Tinggi Agama Islam Diniyah Pekanbaru,,
1607,Sekolah Tinggi Agama Islam Diponegoro Tulungagung,,
1608,Sekolah Tinggi Agama Islam Dr. KH. EZ. Muttaqien Purwakarta,,
1609,Sekolah Tinggi Agama Islam Grobogan,,
1610,Sekolah Tinggi Agama Islam H.M. Lukman Edy Pekanbaru,,
1611,Sekolah Tinggi Agama Islam Hasanuddin Pare,,
1612,Sekolah Tinggi Agama Islam HM.Lukman Edy Pekanbaru,,
1613,Sekolah Tinggi Agama Islam Hubbul Wathan Duri Riau,,
1614,Sekolah Tinggi Agama Islam Ibnu Rusyd,,
1615,Sekolah Tinggi Agama Islam Indonesia Jakarta,,
1616,Sekolah Tinggi Agama Islam Jam`iyah Mahmudiyah Tanjung Pura Langkat,,
1617,Sekolah Tinggi Agama Islam Kupang,,
1618,Sekolah Tinggi Agama Islam Luqman Al-Hakim Surabaya,,
1619,Sekolah Tinggi Agama Islam Ma`arif Jambi,,
1620,Sekolah Tinggi Agama Islam Ma`arif Kendal,,
1621,Sekolah Tinggi Agama Islam Ma`arif Magetan,,
1622,Sekolah Tinggi Agama Islam Ma`arif Sarolangun,,
1623,Sekolah Tinggi Agama Islam Ma`arif Sintang,,
1624,Sekolah Tinggi Agama Islam Ma`had Aly Al-Hikam Malang,,
1625,Sekolah Tinggi Agama Islam Madinatun Najah Rengat Riau,,
1626,Sekolah Tinggi Agama Islam Madiun Jawa Timur,,
1627,Sekolah Tinggi Agama Islam Mambaul Ulum Jambi,,
1628,Sekolah Tinggi Agama Islam Masjid Syuhada,,
1629,Sekolah Tinggi Agama Islam Miftahul Ula Nganjuk,,
1630,Sekolah Tinggi Agama Islam Miftahul Ulum Pamekasan,,
1631,Sekolah Tinggi Agama Islam Minhaajurroosyidiin,,
1632,Sekolah Tinggi Agama Islam Muara Bulian,,
1633,Sekolah Tinggi Agama Islam Muhammadiyah Bandung,,
1634,Sekolah Tinggi Agama Islam Muhammadiyah Klaten,,
1635,Sekolah Tinggi Agama Islam Muhammadiyah Paciran,,
1636,Sekolah Tinggi Agama Islam Muhammadiyah Probolinggo,,
1637,Sekolah Tinggi Agama Islam Muhammadiyah Tulungagung,,
1638,Sekolah Tinggi Agama Islam Mulia Astuti Wonogiri Jawa Tengah,,
1639,Sekolah Tinggi Agama Islam Nahdlatul Ulama Kotabumi,,
1640,Sekolah Tinggi Agama Islam Nahdlatul Ulama Madiun,,
1641,Sekolah Tinggi Agama Islam Nahdlatul Ulama Tasikmalaya,,
1642,Sekolah Tinggi Agama Islam Natuna,,
1643,Sekolah Tinggi Agama Islam Nazhatut Thullab Sampang,,
1644,Sekolah Tinggi Agama Islam Nazhatut Thullab Sampang Madura,,
1645,Sekolah Tinggi Agama Islam Negeri Gajah Putih Takengon,,
1646,Sekolah Tinggi Agama Islam Negeri Kediri,,
1647,Sekolah Tinggi Agama Islam Negeri Kudus,,
1648,Sekolah Tinggi Agama Islam Negeri Majene,,
1649,Sekolah Tinggi Agama Islam Negeri Malikussaleh Lhokseumawe,,
1650,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,,
1651,Sekolah Tinggi Agama Islam Negeri Pamekasan,,
1652,Sekolah Tinggi Agama Islam Negeri Pare-Pare,,
1653,Sekolah Tinggi Agama Islam Negeri Sorong,,
1654,Sekolah Tinggi Agama Islam Negeri Sultan Abdurrahman Kepulauan Riau,,
1655,Sekolah Tinggi Agama Islam Negeri Teungku Dirundeng Meulaboh,,
1656,Sekolah Tinggi Agama Islam Negeri Watampone,,
1657,Sekolah Tinggi Agama Islam Ngawi,,
1658,Sekolah Tinggi Agama Islam Nida El Adabi Parung Panjang Bogor,,
1659,Sekolah Tinggi Agama Islam Nur El Ghazy Bekasi,,
1660,Sekolah Tinggi Agama Islam Nurul Falah Airmolek Indragiri Riau,,
1661,Sekolah Tinggi Agama Islam Nurul Huda,,
1662,Sekolah Tinggi Agama Islam Nurul Iman,,
1663,Sekolah Tinggi Agama Islam Nusantara Kota Banda Aceh,,
1664,Sekolah Tinggi Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,,
1665,Sekolah Tinggi Agama Islam Pati,,
1666,Sekolah Tinggi Agama Islam Pengembangan Ilmu Al-Qur`an,,
1667,Sekolah Tinggi Agama Islam Publisistik Thawalib,,
1668,Sekolah Tinggi Agama Islam Rahmaniyah Sekayu,,
1669,Sekolah Tinggi Agama Islam Raudhatul Akmal,,
1670,Sekolah Tinggi Agama Islam Rokan Besar Batu Rokan Hilir Riau,,
1671,Sekolah Tinggi Agama Islam Sabilul Muttaqqin Mojokerto Jawa Timur,,
1672,Sekolah Tinggi Agama Islam Sangatta Kutai Timur,,
1673,Sekolah Tinggi Agama Islam Sepakat Segenep Kutacane Aceh Tenggara,,
1674,Sekolah Tinggi Agama Islam Seram Timur,,
1675,Sekolah Tinggi Agama Islam Siliwangi Bandung,,
1676,Sekolah Tinggi Agama Islam Solok Nan Indah,,
1677,Sekolah Tinggi Agama Islam Sufyan Tsauri,,
1678,Sekolah Tinggi Agama Islam Sultan Abdurrahman Kepulauan Riau,,
1679,Sekolah Tinggi Agama Islam Sulthan Syarif Hasyim Siak Sri Indrapura,,
1680,Sekolah Tinggi Agama Islam Sumatera Medan,,
1681,Sekolah Tinggi Agama Islam Syaichona Moh. Cholil Bangkalan,,
1682,Sekolah Tinggi Agama Islam Syamsul Ulum Gunung Puyuh Sukabumi,,
1683,Sekolah Tinggi Agama Islam Syarif Muhammad Raha,,
1684,Sekolah Tinggi Agama Islam Syekh Manshur Pandeglang,,
1685,Sekolah Tinggi Agama Islam Syekh.H.Abdul Halim Al-Ishlahiyah,,
1686,Sekolah Tinggi Agama Islam Tapanuli Padangsidempuan,,
1687,Sekolah Tinggi Agama Islam Taruna Surabaya,,
1688,Sekolah Tinggi Agama Islam Tuanku Tambusai Riau,,
1689,Sekolah Tinggi Agama Islam Tulang Bawang,,
1690,Sekolah Tinggi Agama Islam UISU Pematang Siantar,,
1691,Sekolah Tinggi Agama Islam YAPERI Cibinong,,
1692,Sekolah Tinggi Agama Islam Yapnas Jeneponto,,
1693,Sekolah Tinggi Agama Islam YASBA Kalianda,,
1694,Sekolah Tinggi Agama Islam Yayasan Tgk Chik Pante Kulu,,
1695,Sekolah Tinggi Agama Islam YDI Lubuk Sikaping Pasaman,,
1696,Sekolah Tinggi Agama Islam YKI Sumatera Barat,,
1697,Sekolah Tinggi Agama Islam Yogyakarta,,
1698,Sekolah Tinggi Agama Islam Yogyakarta Wonosari,,
1699,Sekolah Tinggi Agama Islam YPI Al Ikhlas Painan,,
1700,Sekolah Tinggi Agama Islam YPIQ Baubau,,
1701,Sekolah Tinggi Agama Islam YPIQ Bau-Bau,,
1702,Sekolah Tinggi Agama Katolik Negeri Pontianak,,
1703,Sekolah Tinggi Agama Kristen Apollos Manado,,
1704,Sekolah Tinggi Agama Kristen Arastamar Grimenawa Jayapura,,
1705,Sekolah Tinggi Agama Kristen Arastamar Soe (STAKAS),,
1706,Sekolah Tinggi Agama Kristen Bina Muda Wirawan Wonogiri,,
1707,Sekolah Tinggi Agama Kristen Diaspora Wamena,,
1708,Sekolah Tinggi Agama Kristen Emmanuel Agung Nias,,
1709,Sekolah Tinggi Agama Kristen Lentera Bangsa Manado,,
1710,Sekolah Tinggi Agama Kristen Luwuk Banggai,,
1711,Sekolah Tinggi Agama Kristen Maluku Utara,,
